# time_ns amplitude
-14.187500 0.000008
-14.156250 0.000016
-14.125000 0.000025
-14.093750 0.000034
-14.062500 0.000043
-14.031250 0.000052
-14.000000 0.000062
-13.968750 0.000072
-13.937500 0.000082
-13.906250 0.000092
-13.875000 0.000102
-13.843750 0.000113
-13.812500 0.000124
-13.781250 0.000135
-13.750000 0.000146
-13.718750 0.000158
-13.687500 0.000170
-13.656250 0.000183
-13.625000 0.000197
-13.593750 0.000211
-13.562500 0.000225
-13.531250 0.000240
-13.500000 0.000256
-13.468750 0.000272
-13.437500 0.000289
-13.406250 0.000306
-13.375000 0.000324
-13.343750 0.000343
-13.312500 0.000362
-13.281250 0.000382
-13.250000 0.000403
-13.218750 0.000424
-13.187500 0.000445
-13.156250 0.000468
-13.125000 0.000491
-13.093750 0.000514
-13.062500 0.000539
-13.031250 0.000564
-13.000000 0.000589
-12.968750 0.000616
-12.937500 0.000643
-12.906250 0.000671
-12.875000 0.000699
-12.843750 0.000728
-12.812500 0.000758
-12.781250 0.000789
-12.750000 0.000820
-12.718750 0.000852
-12.687500 0.000885
-12.656250 0.000919
-12.625000 0.000953
-12.593750 0.000988
-12.562500 0.001024
-12.531250 0.001061
-12.500000 0.001098
-12.468750 0.001136
-12.437500 0.001175
-12.406250 0.001215
-12.375000 0.001256
-12.343750 0.001297
-12.312500 0.001339
-12.281250 0.001382
-12.250000 0.001426
-12.218750 0.001471
-12.187500 0.001517
-12.156250 0.001563
-12.125000 0.001610
-12.093750 0.001659
-12.062500 0.001708
-12.031250 0.001758
-12.000000 0.001808
-11.968750 0.001860
-11.937500 0.001913
-11.906250 0.001966
-11.875000 0.002021
-11.843750 0.002076
-11.812500 0.002132
-11.781250 0.002190
-11.750000 0.002248
-11.718750 0.002307
-11.687500 0.002367
-11.656250 0.002428
-11.625000 0.002490
-11.593750 0.002553
-11.562500 0.002617
-11.531250 0.002682
-11.500000 0.002748
-11.468750 0.002815
-11.437500 0.002883
-11.406250 0.002952
-11.375000 0.003022
-11.343750 0.003093
-11.312500 0.003165
-11.281250 0.003238
-11.250000 0.003312
-11.218750 0.003387
-11.187500 0.003463
-11.156250 0.003540
-11.125000 0.003619
-11.093750 0.003698
-11.062500 0.003779
-11.031250 0.003860
-11.000000 0.003943
-10.968750 0.004027
-10.937500 0.004112
-10.906250 0.004198
-10.875000 0.004285
-10.843750 0.004373
-10.812500 0.004463
-10.781250 0.004554
-10.750000 0.004645
-10.718750 0.004738
-10.687500 0.004832
-10.656250 0.004928
-10.625000 0.005024
-10.593750 0.005122
-10.562500 0.005220
-10.531250 0.005320
-10.500000 0.005422
-10.468750 0.005524
-10.437500 0.005628
-10.406250 0.005732
-10.375000 0.005839
-10.343750 0.005946
-10.312500 0.006054
-10.281250 0.006164
-10.250000 0.006275
-10.218750 0.006388
-10.187500 0.006501
-10.156250 0.006616
-10.125000 0.006732
-10.093750 0.006850
-10.062500 0.006969
-10.031250 0.007089
-10.000000 0.007210
-9.968750 0.007333
-9.937500 0.007457
-9.906250 0.007582
-9.875000 0.007709
-9.843750 0.007837
-9.812500 0.007966
-9.781250 0.008097
-9.750000 0.008229
-9.718750 0.008363
-9.687500 0.008497
-9.656250 0.008634
-9.625000 0.008771
-9.593750 0.008910
-9.562500 0.009051
-9.531250 0.009192
-9.500000 0.009339
-9.468750 0.009506
-9.437500 0.009696
-9.406250 0.009909
-9.375000 0.010147
-9.343750 0.010410
-9.312500 0.010698
-9.281250 0.011010
-9.250000 0.011349
-9.218750 0.011714
-9.187500 0.012105
-9.156250 0.012523
-9.125000 0.012968
-9.093750 0.013441
-9.062500 0.013942
-9.031250 0.014471
-9.000000 0.015029
-8.968750 0.015616
-8.937500 0.016232
-8.906250 0.016879
-8.875000 0.017555
-8.843750 0.018262
-8.812500 0.019000
-8.781250 0.019769
-8.750000 0.020570
-8.718750 0.021403
-8.687500 0.022268
-8.656250 0.023167
-8.625000 0.024098
-8.593750 0.025063
-8.562500 0.026062
-8.531250 0.027095
-8.500000 0.028163
-8.468750 0.029266
-8.437500 0.030404
-8.406250 0.031578
-8.375000 0.032788
-8.343750 0.034035
-8.312500 0.035318
-8.281250 0.036639
-8.250000 0.037998
-8.218750 0.039394
-8.187500 0.040829
-8.156250 0.042303
-8.125000 0.043816
-8.093750 0.045368
-8.062500 0.046961
-8.031250 0.048593
