# pmt_id easting_cm northing_cm
0 -5642.00 -29316.69
1 -4030.00 -29316.69
2 -2418.00 -29316.69
3 -806.00 -29316.69
4 806.00 -29316.69
5 2418.00 -29316.69
6 4030.00 -29316.69
7 5642.00 -29316.69
8 -9672.00 -27920.66
9 -8060.00 -27920.66
10 -6448.00 -27920.66
11 -4836.00 -27920.66
12 -3224.00 -27920.66
13 -1612.00 -27920.66
14 0.00 -27920.66
15 1612.00 -27920.66
16 3224.00 -27920.66
17 4836.00 -27920.66
18 6448.00 -27920.66
19 8060.00 -27920.66
20 9672.00 -27920.66
21 -13702.00 -26524.63
22 -12090.00 -26524.63
23 -10478.00 -26524.63
24 -8866.00 -26524.63
25 -7254.00 -26524.63
26 -5642.00 -26524.63
27 -4030.00 -26524.63
28 -2418.00 -26524.63
29 -806.00 -26524.63
30 806.00 -26524.63
31 2418.00 -26524.63
32 4030.00 -26524.63
33 5642.00 -26524.63
34 7254.00 -26524.63
35 8866.00 -26524.63
36 10478.00 -26524.63
37 12090.00 -26524.63
38 13702.00 -26524.63
39 -16120.00 -25128.59
40 -14508.00 -25128.59
41 -12896.00 -25128.59
42 -11284.00 -25128.59
43 -9672.00 -25128.59
44 -8060.00 -25128.59
45 -6448.00 -25128.59
46 -4836.00 -25128.59
47 -3224.00 -25128.59
48 -1612.00 -25128.59
49 0.00 -25128.59
50 1612.00 -25128.59
51 3224.00 -25128.59
52 4836.00 -25128.59
53 6448.00 -25128.59
54 8060.00 -25128.59
55 9672.00 -25128.59
56 11284.00 -25128.59
57 12896.00 -25128.59
58 14508.00 -25128.59
59 16120.00 -25128.59
60 -16926.00 -23732.56
61 -15314.00 -23732.56
62 -13702.00 -23732.56
63 -12090.00 -23732.56
64 -10478.00 -23732.56
65 -8866.00 -23732.56
66 -7254.00 -23732.56
67 -5642.00 -23732.56
68 -4030.00 -23732.56
69 -2418.00 -23732.56
70 -806.00 -23732.56
71 806.00 -23732.56
72 2418.00 -23732.56
73 4030.00 -23732.56
74 5642.00 -23732.56
75 7254.00 -23732.56
76 8866.00 -23732.56
77 10478.00 -23732.56
78 12090.00 -23732.56
79 13702.00 -23732.56
80 15314.00 -23732.56
81 16926.00 -23732.56
82 -19344.00 -22336.53
83 -17732.00 -22336.53
84 -16120.00 -22336.53
85 -14508.00 -22336.53
86 -12896.00 -22336.53
87 -11284.00 -22336.53
88 -9672.00 -22336.53
89 -8060.00 -22336.53
90 -6448.00 -22336.53
91 -4836.00 -22336.53
92 -3224.00 -22336.53
93 -1612.00 -22336.53
94 0.00 -22336.53
95 1612.00 -22336.53
96 3224.00 -22336.53
97 4836.00 -22336.53
98 6448.00 -22336.53
99 8060.00 -22336.53
100 9672.00 -22336.53
101 11284.00 -22336.53
102 12896.00 -22336.53
103 14508.00 -22336.53
104 16120.00 -22336.53
105 17732.00 -22336.53
106 19344.00 -22336.53
107 -20150.00 -20940.49
108 -18538.00 -20940.49
109 -16926.00 -20940.49
110 -15314.00 -20940.49
111 -13702.00 -20940.49
112 -12090.00 -20940.49
113 -10478.00 -20940.49
114 -8866.00 -20940.49
115 -7254.00 -20940.49
116 -5642.00 -20940.49
117 -4030.00 -20940.49
118 -2418.00 -20940.49
119 -806.00 -20940.49
120 806.00 -20940.49
121 2418.00 -20940.49
122 4030.00 -20940.49
123 5642.00 -20940.49
124 7254.00 -20940.49
125 8866.00 -20940.49
126 10478.00 -20940.49
127 12090.00 -20940.49
128 13702.00 -20940.49
129 15314.00 -20940.49
130 16926.00 -20940.49
131 18538.00 -20940.49
132 20150.00 -20940.49
133 -22568.00 -19544.46
134 -20956.00 -19544.46
135 -19344.00 -19544.46
136 -17732.00 -19544.46
137 -16120.00 -19544.46
138 -14508.00 -19544.46
139 -12896.00 -19544.46
140 -11284.00 -19544.46
141 -9672.00 -19544.46
142 -8060.00 -19544.46
143 -6448.00 -19544.46
144 -4836.00 -19544.46
145 -3224.00 -19544.46
146 -1612.00 -19544.46
147 0.00 -19544.46
148 1612.00 -19544.46
149 3224.00 -19544.46
150 4836.00 -19544.46
151 6448.00 -19544.46
152 8060.00 -19544.46
153 9672.00 -19544.46
154 11284.00 -19544.46
155 12896.00 -19544.46
156 14508.00 -19544.46
157 16120.00 -19544.46
158 17732.00 -19544.46
159 19344.00 -19544.46
160 20956.00 -19544.46
161 22568.00 -19544.46
162 -23374.00 -18148.43
163 -21762.00 -18148.43
164 -20150.00 -18148.43
165 -18538.00 -18148.43
166 -16926.00 -18148.43
167 -15314.00 -18148.43
168 -13702.00 -18148.43
169 -12090.00 -18148.43
170 -10478.00 -18148.43
171 -8866.00 -18148.43
172 -7254.00 -18148.43
173 -5642.00 -18148.43
174 -4030.00 -18148.43
175 -2418.00 -18148.43
176 -806.00 -18148.43
177 806.00 -18148.43
178 2418.00 -18148.43
179 4030.00 -18148.43
180 5642.00 -18148.43
181 7254.00 -18148.43
182 8866.00 -18148.43
183 10478.00 -18148.43
184 12090.00 -18148.43
185 13702.00 -18148.43
186 15314.00 -18148.43
187 16926.00 -18148.43
188 18538.00 -18148.43
189 20150.00 -18148.43
190 21762.00 -18148.43
191 23374.00 -18148.43
192 -24180.00 -16752.40
193 -22568.00 -16752.40
194 -20956.00 -16752.40
195 -19344.00 -16752.40
196 -17732.00 -16752.40
197 -16120.00 -16752.40
198 -14508.00 -16752.40
199 -12896.00 -16752.40
200 -11284.00 -16752.40
201 -9672.00 -16752.40
202 -8060.00 -16752.40
203 -6448.00 -16752.40
204 -4836.00 -16752.40
205 -3224.00 -16752.40
206 -1612.00 -16752.40
207 0.00 -16752.40
208 1612.00 -16752.40
209 3224.00 -16752.40
210 4836.00 -16752.40
211 6448.00 -16752.40
212 8060.00 -16752.40
213 9672.00 -16752.40
214 11284.00 -16752.40
215 12896.00 -16752.40
216 14508.00 -16752.40
217 16120.00 -16752.40
218 17732.00 -16752.40
219 19344.00 -16752.40
220 20956.00 -16752.40
221 22568.00 -16752.40
222 24180.00 -16752.40
223 -3022.50 -15705.37
224 -2619.50 -15705.37
225 -2216.50 -15705.37
226 -1813.50 -15705.37
227 -1410.50 -15705.37
228 -1007.50 -15705.37
229 -604.50 -15705.37
230 -201.50 -15705.37
231 201.50 -15705.37
232 604.50 -15705.37
233 1007.50 -15705.37
234 1410.50 -15705.37
235 1813.50 -15705.37
236 2216.50 -15705.37
237 2619.50 -15705.37
238 3022.50 -15705.37
239 -24986.00 -15356.36
240 -23374.00 -15356.36
241 -21762.00 -15356.36
242 -20150.00 -15356.36
243 -18538.00 -15356.36
244 -16926.00 -15356.36
245 -15314.00 -15356.36
246 -13702.00 -15356.36
247 -12090.00 -15356.36
248 -10478.00 -15356.36
249 -8866.00 -15356.36
250 -7254.00 -15356.36
251 -4433.00 -15356.36
252 -4030.00 -15356.36
253 -3627.00 -15356.36
254 -3224.00 -15356.36
255 -2821.00 -15356.36
256 -2418.00 -15356.36
257 -2015.00 -15356.36
258 -1612.00 -15356.36
259 -1209.00 -15356.36
260 -806.00 -15356.36
261 -403.00 -15356.36
262 0.00 -15356.36
263 403.00 -15356.36
264 806.00 -15356.36
265 1209.00 -15356.36
266 1612.00 -15356.36
267 2015.00 -15356.36
268 2418.00 -15356.36
269 2821.00 -15356.36
270 3224.00 -15356.36
271 3627.00 -15356.36
272 4030.00 -15356.36
273 4433.00 -15356.36
274 7254.00 -15356.36
275 8866.00 -15356.36
276 10478.00 -15356.36
277 12090.00 -15356.36
278 13702.00 -15356.36
279 15314.00 -15356.36
280 16926.00 -15356.36
281 18538.00 -15356.36
282 20150.00 -15356.36
283 21762.00 -15356.36
284 23374.00 -15356.36
285 24986.00 -15356.36
286 -5440.50 -15007.35
287 -5037.50 -15007.35
288 -4634.50 -15007.35
289 -4231.50 -15007.35
290 -3828.50 -15007.35
291 -3425.50 -15007.35
292 -3022.50 -15007.35
293 -2619.50 -15007.35
294 -2216.50 -15007.35
295 -1813.50 -15007.35
296 -1410.50 -15007.35
297 -1007.50 -15007.35
298 -604.50 -15007.35
299 -201.50 -15007.35
300 201.50 -15007.35
301 604.50 -15007.35
302 1007.50 -15007.35
303 1410.50 -15007.35
304 1813.50 -15007.35
305 2216.50 -15007.35
306 2619.50 -15007.35
307 3022.50 -15007.35
308 3425.50 -15007.35
309 3828.50 -15007.35
310 4231.50 -15007.35
311 4634.50 -15007.35
312 5037.50 -15007.35
313 5440.50 -15007.35
314 -6045.00 -14658.35
315 -5642.00 -14658.35
316 -5239.00 -14658.35
317 -4836.00 -14658.35
318 -4433.00 -14658.35
319 -4030.00 -14658.35
320 -3627.00 -14658.35
321 -3224.00 -14658.35
322 -2821.00 -14658.35
323 -2418.00 -14658.35
324 -2015.00 -14658.35
325 -1612.00 -14658.35
326 -1209.00 -14658.35
327 -806.00 -14658.35
328 -403.00 -14658.35
329 0.00 -14658.35
330 403.00 -14658.35
331 806.00 -14658.35
332 1209.00 -14658.35
333 1612.00 -14658.35
334 2015.00 -14658.35
335 2418.00 -14658.35
336 2821.00 -14658.35
337 3224.00 -14658.35
338 3627.00 -14658.35
339 4030.00 -14658.35
340 4433.00 -14658.35
341 4836.00 -14658.35
342 5239.00 -14658.35
343 5642.00 -14658.35
344 6045.00 -14658.35
345 -7052.50 -14309.34
346 -6649.50 -14309.34
347 -6246.50 -14309.34
348 -5843.50 -14309.34
349 -5440.50 -14309.34
350 -5037.50 -14309.34
351 -4634.50 -14309.34
352 -4231.50 -14309.34
353 -3828.50 -14309.34
354 -3425.50 -14309.34
355 -3022.50 -14309.34
356 -2619.50 -14309.34
357 -2216.50 -14309.34
358 -1813.50 -14309.34
359 -1410.50 -14309.34
360 -1007.50 -14309.34
361 -604.50 -14309.34
362 -201.50 -14309.34
363 201.50 -14309.34
364 604.50 -14309.34
365 1007.50 -14309.34
366 1410.50 -14309.34
367 1813.50 -14309.34
368 2216.50 -14309.34
