,True NSB Background,True gain,ADC noise,Baseline mean,Offset,Baseline mean - offset,Signal Variance,Signal mean,Baseline/Var,Var/(Mean - Offset)
2549,3000000000.0,10.0,0.8,850.507269638217,307.67886139860644,542.8284082396106,5547.492257280194,859.4551429142515,10.219605630572431,8.399498916462278
2870,500000000.0,10.0,0.8,307.67886139860644,307.67886139860644,0.0,905.000183647667,309.89488264994066,inf,8.160883189754214
1897,68611038.04261534,6.727272727272728,1.0,208.17666653337065,199.22125,8.955416533370652,56.74935355863381,209.65482864797855,6.3368748228704,5.326162947669777
412,724046.1975807953,6.727272727272728,1.0,199.5596451043493,199.22125,0.33839510434930276,1.6805547761889,199.6085861011712,4.9662502636390835,2.7614084070515954
2041,309612174.83787066,6.727272727272728,1.0,243.8584254392191,199.22125,44.63717543921911,250.29476111659864,245.30163211363012,5.607316293061964,5.405743808389806
2039,437.591066697602,6.727272727272728,1.0,199.70125,199.22125,0.47999999999998977,6.49,200.1,13.520833333333622,5.9000000000000306
2038,2769.516817469004,6.727272727272728,1.0,199.50308725831508,199.22125,0.281837258315079,1.0832227784391522,199.50176217404385,3.8434335648701454,2.1588370636015566
2033,155591.77826811312,6.727272727272728,1.0,199.5094715834888,199.22125,0.28822158348879157,1.1944965148883513,199.52042370715589,4.1443687194744845,2.295238472928671
1331,408336652.2928125,6.727272727272728,1.0,258.4771685081216,199.22125,59.255918508121624,331.6687835427425,259.92952286123307,5.597226266896596,5.443482370576213
2024,215.71970432865496,6.727272727272728,1.0,199.5065326934613,199.22125,0.28528269346131196,1.084851342468959,199.503699260148,3.8027239903919337,2.1537679887601544
2021,442666.6405175334,6.727272727272728,1.0,199.53157062884756,199.22125,0.3103206288475633,1.4109138334888325,199.5579666956004,4.5466324257221915,2.528670339312251
755,3694985.0690982207,6.727272727272728,1.0,199.79847114853672,199.22125,0.5772211485367222,3.962351059541484,200.03902680079065,6.864528559956953,3.8135215150622854
750,5122.899779647389,6.727272727272728,1.0,199.49569448459235,199.22125,0.27444448459235105,1.0899487767552094,199.4984531439997,3.971472694647794,2.186662457396077
415,11752.137429066472,6.727272727272728,1.0,199.498805865624,199.22125,0.27755586562400936,1.0970693854328688,199.5016890716503,3.9526074614435,2.1867516105624216
2016,150879.78333874908,6.727272727272728,1.0,199.51370257965092,199.22125,0.2924525796509272,1.220333457452908,199.52576344482495,4.172756687287573,2.3210694266871674
2014,11179284.880487524,6.727272727272728,1.0,200.42776717404607,199.22125,1.2065171740460698,10.119037957888866,201.1611182876545,8.38698211311369,4.682315639867769
